energy,location,error
165,0,8.213
165,1,10.1557
165,2,11.6405
165,3,18.3702
165,4,27.4916
165,5,31.2925
165,6,8.04843
165,7,8.7444
165,8,11.0974
165,9,15.2361
165,10,22.281
165,11,5.43575
165,12,9.02904
165,13,14.9861
165,14,28.4057
165,15,29.126
200,0,5.45661
200,1,6.64542
200,2,8.94254
200,3,11.6966
200,4,13.7626
200,5,16.0317
200,6,5.69481
200,7,6.52376
200,8,11.8938
200,9,14.2106
200,10,22.1982
200,11,5.31773
200,12,9.06735
200,13,13.2165
200,14,21.9041
200,15,22.6445
250,0,4.02389
250,1,5.14396
250,2,6.14178
250,3,8.21303
250,4,10.8298
250,5,12.7105
250,6,4.58678
250,7,5.60089
250,8,8.61273
250,9,11.7789
250,10,16.1261
250,11,4.06954
250,12,6.04301
250,13,9.70011
250,14,17.1417
250,15,25.2588
300,0,2.5847
300,1,3.37809
300,2,4.50338
300,3,6.44603
300,4,7.5907
300,5,9.73079
300,6,3.4733
300,7,5.08472
300,8,7.48784
300,9,9.42806
300,10,15.3871
300,11,3.07556
300,12,4.04728
300,13,9.93442
300,14,13.6424
300,15,17.8542
350,0,2.18556
350,1,2.98652
350,2,3.64079
350,3,4.75108
350,4,5.90774
350,5,6.59441
350,6,3.13424
350,7,3.90706
350,8,5.13629
350,9,9.58291
350,10,9.53319
350,11,2.8075
350,12,4.23621
350,13,7.84542
350,14,11.0066
350,15,14.9993
400,0,1.87395
400,1,2.39691
400,2,2.68137
400,3,3.65886
400,4,4.72445
400,5,5.71724
400,6,2.40631
400,7,3.08529
400,8,6.25644
400,9,7.34379
400,10,11.1137
400,11,2.3047
400,12,3.03459
400,13,5.97591
400,14,10.4645
400,15,11.7342
